WHO_REGION,ISO_code,Cname,Continent,Vaccine,Percent_covrage
EMR,AFG,Afghanistan,Asia,BCG,98.0
EMR,AFG,Afghanistan,Asia,DTP1,99.0
EMR,AFG,Afghanistan,Asia,DTP3,87.0
EMR,AFG,Afghanistan,Asia,HepB_BD,38.0
EMR,AFG,Afghanistan,Asia,HepB3,87.0
EMR,AFG,Afghanistan,Asia,Hib3,87.0
EMR,AFG,Afghanistan,Asia,IPV1,86.0
EMR,AFG,Afghanistan,Asia,MCV1,82.0
EMR,AFG,Afghanistan,Asia,MCV2,60.0
EMR,AFG,Afghanistan,Asia,PCV1,97.0
EMR,AFG,Afghanistan,Asia,PCV2,89.0
EMR,AFG,Afghanistan,Asia,PCV3,84.0
EMR,AFG,Afghanistan,Asia,Pol3,86.0
EMR,AFG,Afghanistan,Asia,Rota1,75.0
EMR,AFG,Afghanistan,Asia,RotaC,60.0
EMR,AFG,Afghanistan,Asia,TT2plus,85.0
EUR,ALB,Albania,Europe,BCG,99.0
EUR,ALB,Albania,Europe,DiphCV4,97.0
EUR,ALB,Albania,Europe,DiphCV5,97.0
EUR,ALB,Albania,Europe,DiphCV6,95.0
EUR,ALB,Albania,Europe,DTP1,99.0
EUR,ALB,Albania,Europe,DTP3,99.0
EUR,ALB,Albania,Europe,HepB_BD,99.0
EUR,ALB,Albania,Europe,HepB_BDall,99.0
EUR,ALB,Albania,Europe,HepB3,99.0
EUR,ALB,Albania,Europe,Hib3,99.0
EUR,ALB,Albania,Europe,IPV1,99.0
EUR,ALB,Albania,Europe,MCV1,94.0
EUR,ALB,Albania,Europe,MCV2,96.0
EUR,ALB,Albania,Europe,PCV1,99.0
EUR,ALB,Albania,Europe,PCV2,99.0
EUR,ALB,Albania,Europe,PCV3,99.0
EUR,ALB,Albania,Europe,PerCV4,99.0
EUR,ALB,Albania,Europe,Pol3,99.0
EUR,ALB,Albania,Europe,RCV1,94.0
EUR,ALB,Albania,Europe,TTCV4,97.0
EUR,ALB,Albania,Europe,TTCV5,97.0
EUR,ALB,Albania,Europe,TTCV6,95.0
AFR,DZA,Algeria,Africa,BCG,99.0
AFR,DZA,Algeria,Africa,DTP1,98.0
AFR,DZA,Algeria,Africa,DTP3,95.0
AFR,DZA,Algeria,Africa,HepB_BD,99.0
AFR,DZA,Algeria,Africa,HepB_BDall,99.0
AFR,DZA,Algeria,Africa,HepB3,95.0
AFR,DZA,Algeria,Africa,Hib3,95.0
AFR,DZA,Algeria,Africa,IPV1,98.0
AFR,DZA,Algeria,Africa,MCV1,80.0
AFR,DZA,Algeria,Africa,MCV2,77.0
AFR,DZA,Algeria,Africa,PAB,98.0
AFR,DZA,Algeria,Africa,PCV1,98.0
AFR,DZA,Algeria,Africa,PCV2,97.0
AFR,DZA,Algeria,Africa,PCV3,95.0
AFR,DZA,Algeria,Africa,Pol3,95.0
AFR,DZA,Algeria,Africa,RCV1,80.0
AFR,DZA,Algeria,Africa,TT2plus,40.0
EUR,AND,Andorra,Europe,DiphCV4,98.0
EUR,AND,Andorra,Europe,DiphCV5,97.0
EUR,AND,Andorra,Europe,DTP1,99.0
EUR,AND,Andorra,Europe,DTP3,99.0
EUR,AND,Andorra,Europe,HepB3,98.0
EUR,AND,Andorra,Europe,Hib3,99.0
EUR,AND,Andorra,Europe,HPVfem,49.0
EUR,AND,Andorra,Europe,IPV1,99.0
EUR,AND,Andorra,Europe,MCV1,99.0
EUR,AND,Andorra,Europe,MCV2,95.0
EUR,AND,Andorra,Europe,PCV1,99.0
EUR,AND,Andorra,Europe,PCV2,97.0
EUR,AND,Andorra,Europe,PCV3,94.0
EUR,AND,Andorra,Europe,PerCV4,98.0
EUR,AND,Andorra,Europe,Pol3,99.0
EUR,AND,Andorra,Europe,RCV1,99.0
EUR,AND,Andorra,Europe,TTCV4,98.0
EUR,AND,Andorra,Europe,TTCV5,97.0
AFR,AGO,Angola,Africa,BCG,95.0
AFR,AGO,Angola,Africa,DTP1,97.0
AFR,AGO,Angola,Africa,DTP3,84.0
AFR,AGO,Angola,Africa,HepB_BDall,58.0
AFR,AGO,Angola,Africa,HepB3,84.0
AFR,AGO,Angola,Africa,Hib3,84.0
AFR,AGO,Angola,Africa,IPV1,65.0
AFR,AGO,Angola,Africa,MCV1,79.0
AFR,AGO,Angola,Africa,MCV2,35.0
AFR,AGO,Angola,Africa,PCV1,96.0
AFR,AGO,Angola,Africa,PCV2,83.0
AFR,AGO,Angola,Africa,PCV3,82.0
AFR,AGO,Angola,Africa,Pol3,82.0
AFR,AGO,Angola,Africa,RCV1,79.0
AFR,AGO,Angola,Africa,Rota1,88.0
AFR,AGO,Angola,Africa,RotaC,75.0
AFR,AGO,Angola,Africa,TT2plus,66.0
AFR,AGO,Angola,Africa,VAD1,34.0
AFR,AGO,Angola,Africa,YFV,74.0
AMR,ATG,Antigua and Barbuda,North America,DiphCV4,92.0
AMR,ATG,Antigua and Barbuda,North America,DiphCV5,79.0
AMR,ATG,Antigua and Barbuda,North America,DTP1,99.0
AMR,ATG,Antigua and Barbuda,North America,DTP3,95.0
AMR,ATG,Antigua and Barbuda,North America,HepB3,95.0
AMR,ATG,Antigua and Barbuda,North America,Hib3,95.0
AMR,ATG,Antigua and Barbuda,North America,IPV1,99.0
